date,time,fromZone,toZone
2022-05-30,10:30,1,1
2022-05-30,10:50,2,1
2022-05-30,11:50,2,2
2022-05-30,14:00,1,2
2022-05-31,11:00,1,2
2022-05-31,20:00,2,1
2022-05-31,13:00,1,1
2022-05-31,19:00,1,1
2022-05-31,17:00,2,2
2022-05-31,17:15,1,1
2022-06-01,20:20,1,1
2022-06-01,12:15,1,1
2022-06-01,09:15,1,1
2022-06-01,10:00,1,1
2022-06-01,16:08,1,1
2022-06-01,21:20,1,1
2022-06-01,10:10,1,1
2022-06-02,09:00,1,1
2022-06-02,11:15,2,1
2022-06-02,12:10,1,1
2022-06-02,18:00,1,1
2022-06-02,15:15,1,1
2022-06-02,22:15,1,1
2022-06-03,18:00,2,2
2022-06-03,15:05,1,1
2022-06-03,20:10,1,1
2022-06-03,18:00,1,1
2022-06-03,10:01,1,1
2022-06-03,09:09,1,2
2022-06-04,11:11,1,1
2022-06-04,12:00,1,1
2022-06-04,15:00,1,2
2022-06-04,17:01,1,2
2022-06-05,12:00,1,2
2022-06-05,09:00,1,2
2022-06-05,11:00,1,2
2022-06-05,13:00,1,1
